Input_pid,Output_eng
1-dat small guy just dey fuck girls eveyday.,That small guy just sleeps with girls every day.
Why you dey always shout at me now? eh? abeg free me.,"Why are you always shouting at me now? Please, leave me alone."
"abeg fashie that side, i no dey go","Please ignore that side, I'm not going."
"Oga, na Olu Jacobs be that o. Na im dey for that fim we watch yesterday.","Boss, that's Olu Jacobs. He's the one in the movie we watched yesterday."
Una dey flenjo for London,You are showing off in London.
"If ak come eh, you go see how dis area-boyz go run four-forty.","If AK comes, you will see how these area boys will run very fast."
Man Aba road get plenti gallop.,The Aba road has many potholes.
man you don see that acata?,Have you seen that cat?
"abeg give me my foto, i no fit shout","Please give me my photo, I can't shout."
"When I start to talk to Chidi babe, Chidi start to form vex","When I started talking to Chidi's girl, Chidi began to pretend to be angry."
If not let the G boys profit on Net!,"If not, let the G boys make a profit online!"
Ona just dey flendi for Asaba,He is just showing off in Asaba.
"Mr. B: Nna, eh, I just full ground remain!","Man, oh, I'm just completely exhausted!"
davido na frosh guy,Davido is a fresh guy.
"See that useless boy, just galavanting on my street","Look at that useless boy, just wandering around on my street."
"E choke,gbab?","It's overwhelming, right?"
"(1) Guy, you no go enter that babe?? (2) If I enter you ehn?? You go see yasef dey wake up for hospital","(1) Dude, aren't you going to approach that girl? (2) If I deal with you, huh? You'll find yourself waking up in a hospital."
"Guy yawa gas o, ekelebe burst us","Man, trouble is big, the police caught us."
"2-dat girl no try,she just fuck me for the birthday.",That girl didn't make an effort; she just disappointed me on the birthday.
"Shege banza, waka jam you","Useless trouble, may misfortune meet you."
I go dat party Jide just dey do fren fren for everybody,"I went to that party, Jide was just being friendly with everyone."
u don dey gazzo,You are already showing off.
"abeg, you fit help me? i no fit talk","Please, can you help me? I can't speak."
"every time wey i see you, you dey jest e don do","Every time I see you, you are always joking; it's enough."
long time oh....!,It's been a long time!
Why titi dey form ajebo? Means why is titi behaving like a posh person,Why is Titi behaving like a posh person?
We gats to wait for Tayo,We have to wait for Tayo.
"Fada dey flog late comers with koboko; o boy, u go fear fear.","The father whips latecomers with a whip; oh boy, you will be really scared."
See d way you come gaj up like this.,Look at the way you dressed up so nicely.
Man you get too much effizzie,"Man, you are very talented."
"this your forming done too much, abeg,","Your pretense has become excessive, please."
I gbadun the way Super Eagles dey play recently.,I enjoy the way the Super Eagles have been playing recently.
Ada: E be like say rain go fall.,Ada: It seems like it's going to rain.
"Josh the fish dem wey you waka with yesterday, come find you.","Josh, the fish that you walked with yesterday came looking for you."
Friend: You think say Jide party go rock?You:For where,Friend: Do you think Jide's party will be great? You: Not at all.
Man this kola nut just full ground,"Man, this kola nut is just all over the ground."
dem be gbati gbati= they are yorubas,They are Yorubas.
Where is your g4? I wan lem.,Where is your g4? I want to borrow it.
Maryam come see my fren,"Maryam, come see my friend."
See as Bomboy gbaga when wangara show.,Look at how Bomboy ran away when the police showed up.
belstaffbelstaff jacketsbelstaff salesbelstaff ukbelstaff jackets 2011cheap belstaff jacketsbelstaff bagsbelstaff jackets womenbelstaff jackets womendiscount belstaff jackets men,This sentence does not contain any Igbo or Nigerian Pidgin content to translate into English. It appears to be a list of keywords related to Belstaff products.
I like this babe gan o!,I really like this girl!
your sister and her friend na A.P.U,Your sister and her friend are at the A.P.U.
1 Mama Ekite I hear say after your party rice still full ground remain,"I heard that after your party, there was still a lot of rice left over."
Mi O Fe Gbo Yen Gbagbe Isele,I don't want to hear or forget that incident.
o boi gbagae don bust for Jakpa junction,The boy's tire burst at Jakpa junction.
your gara-gara don too much,Your showing off is too much.
Ebere's gate man likes to waste time in opening the gate,Ebere's gate man likes to waste time in opening the gate.
"Only one week Uche go yankee, e one come start to de blow fonne for hia: See'n eye.","Just one week after Uche went to America, he wants to start showing off here: Acting snobbish."
i won chop garri today oh,I want to eat garri today.
GBEDU dey Hexagon hotel,There's a party at Hexagon hotel.
gbagbeski jare,"Forget about it, please."
See as Emeka gbolalaa dat rotten driver,Look at how Emeka insulted that rotten driver.
Chinedu dey operate like Bebeto,Chinedu operates like Bebeto.
That movie was gen-gen,That movie was very interesting.
Na who dey smoke Ganja,Who is smoking marijuana?
"Omo, that guy don enter Gbege oO!","Man, that guy has gotten himself into serious trouble!"
i go gbese you oh!,"I will borrow from you, oh!"
Gi mi dat cake,Give me that cake.
"Abeg Steven, on that Gen!","Please Steven, turn on that generator!"
"Favour! Oya, go and wash my garms!","Favour! Hurry, go and wash my clothes!"
E be like say Naomi get belle,It seems like Naomi is pregnant.
Dame gbagauned severally at the interview. The chik fine for face but na gbagaun full her mouth,"The lady made several grammatical errors during the interview. She is pretty, but her speech is full of errors."
Una no vote for GEJ?,Didn't you all vote for GEJ?
It don reach 10 days now way me and my pikin don dey gazzo garri,It's been 10 days now since my child and I have been soaking and eating garri.
"If the price whe/wee i de give  Ɣ☺ΰ no pay  Ɣ☺ΰ better fly or  Ɣ☺ΰ fit yarn the pidgin like this ""oya fly eee no price my market anyhow"".","If the price I'm offering doesn't satisfy you, you better leave, or you can say it in Pidgin like this: 'please leave, don't undervalue my goods.'"
"O boy, this your picture too gbaski","Dude, this your picture is really cool."
So you think say na only you get sense pass?,So you think you're the only one who is smart?
metaphorically: God save my gnash that day o.,God saved my teeth that day.
Chinedu na gbomogbomo,Chinedu is a kidnapper.
see corruption everywhere Nigerian don gbolo finish,"Corruption is everywhere in Nigeria, it's completely finished."
I get mouth die! Dele get mouth like Bucket.,I am very eloquent! Dele talks too much.
Did you see Amaka's Gele? That thing was out of this world,Did you see Amaka's head tie? That thing was out of this world.
That guy go fuck as hin present that speech,That guy will mess up as he presents that speech.
"Do me a favour please, gerrarahere!","Do me a favor please, get out of here!"
As the pot fall from stove I just hear gbosa,"As the pot fell from the stove, I just heard a loud bang."
I don enter gobe,I'm in trouble.
abeg buy me beta globe wey dey light wella,Please buy me a good bulb that shines very brightly.
Mummy will you buy me gism?,"Mummy, will you buy me a toy?"
See her tiny gnash.,Look at her small teeth.
My friend would you gerrarahere!,"My friend, would you get out of here!"
why you go barb gorimapa?,Why did you shave your head bald?
i dey always mess each time i chop german stone means i always fart each time i eat german stone,I always fart each time I eat German stone.
If u don go fail go now,"If you have gone to fail, go now."
Biola! gettaway.,Biola! Go away.
Man wayting be the name of the geezm company we you dey use?,What is the name of the guy's company that you are using?
No do gragra for me,Don't show off to me.
That Mallam dey pack all his money for ghana must go,That Mallam is packing all his money in a 'Ghana Must Go' bag.
If you no like my example abeg go hug transformer!,"If you don't like my example, please go hug a transformer!"
The boy too de gree-die,The boy is very stubborn.
det man a one gov dannel,That man is a government official.
Sorry say i late. Go slow hold me for ring road means sorry am late. I was held up by traffic,"Sorry, I am late. I was held up by traffic."
he gon store,He went to the store.
"omo u grab o, nba wich kin iron u dey chop?","You're strong, what kind of food do you eat?"
"As di fait be jost wan bust, na so e stand gidiba fo graund.","As the fight was about to start, that's how he stood firmly on the ground."
Gbanjo cloth wey I'm buy yesterday na im e de take do yanga,The secondhand cloth that I bought yesterday is what he's showing off with.
The girl say her boyfriend gbola too big.,The girl said her boyfriend's penis is too big.
Omo the kind ginger wey I get for that babe no be small,The kind of enthusiasm I have for that girl is not small.
You be confirmed agaracha means you are a woman of easy virtue,You are a woman of easy virtue.
See that Agbero,Look at that thug
Dat boy to gra-gra,That boy is too full of himself.
"Etim, you no gree talk?","Etim, won't you talk?"
Omo I wan soke some Gerrium.,I want to drink some alcohol.
Ruq: I no read oo! i just dey play,I didn't read at all! I was just playing.
The go-slow plenty for third mainland bridge o,There's a lot of traffic on the Third Mainland Bridge.
To excuse: Abeg I no go fit come for dat dayForgiveness:abeg make you no wex for me oOrder:Abeg make una pay una moni,"Excuse: Please, I won't be able to come that day. Forgiveness: Please, don't be angry with me. Order: Please, everyone pay your money."
Give me your brother number ('I want to grin grin him').,Give me your brother's number (I want to tease him).
"Ejiro don guck,wangara declare am wanted.","Ejiro has escaped, Wangara has declared him wanted."
Mah jus griddai go the place.,I just greeted and went to the place.
2) i won give am belle before she shun my side,I wanted to get her pregnant before she rejected me.
Joe like to do gra gra anywhere him go.,Joe likes to show off wherever he goes.
"ah! i think say my pikin don miss, fear catch me.","Ah! I thought my child was missing, I was scared."
1)Azubike dis song na die oh! abeg give am belle sharp sharp,"Azubike, this song is amazing! Please turn up the volume immediately."
H-are you going to the party?,Are you going to the party?
Hol your change,Hold your change.
Hammer Head of Horror,Hammer Head of Horror
That boy get agada,That boy has a machete.
I dey go haus,I am going home.
"Bros, your girlfriend na gumbodi, see as she wan follow you enter toilet.","Bro, your girlfriend is clingy, see how she wants to follow you into the toilet."
Fat: fat person get big belleDrinking: tombo don make am get belleMalnutration: dat man dey suffer for big belle sickness,Fat: The fat person has a big belly. Drinking: Palm wine has made him have a belly. Malnutrition: That man is suffering from a disease of the belly.
3. I don forget the whole thing,I have forgotten everything.
ooo boy i dey H,"Oh boy, I'm horny."
I hammer that girl no be small,I really impressed that girl a lot.
"that one you dey talk na grammar, I go still do wetin I wan do","That thing you're saying is just grammar, I will still do what I want to do."
your guy name fit u well well.,Your guy's name suits you very well.
"Dem dey groove, groove dey club","They are having fun, fun is at the club."
"Amina come make we gist something just come up, I get gist about Adanna","Amina, come let's chat; something just came up, I have some gossip about Adanna."
B: Ahlie!,"Yes, that's true!"
That Abi is a Beautiful Woman,Abi is a beautiful woman.
"Abeg, hala me when you reach dia.","Please, call me when you get there."
Obasanjo just dey hala senators,Obasanjo is just shouting at the senators.
"Emeka no gree, next thing wey we hear na gbo gbo, for Emeka eyes","Emeka refused, the next thing we heard was a loud noise, in Emeka's eyes."
Na hin chick be that ooo!,That's his girlfriend!
o boi afar nah!,"Oh boy, it's far away!"
You don grub? Food still remain,Have you eaten? There's still food left.
this boy dey craze o,This boy is crazy.
"Haba, now! Do am for me!","Please, do it for me!"
(That is his girlfriend be aware),"That is his girlfriend, be aware."
"chika, how bodi?","Chika, how are you?"
Jackie chan and jet life name dem sabi do actor pass.,Jackie Chan and Jet Li are known to be better actors.
Just hold belle small oh,Just be patient for a little while.
You think say you be correct guy-man?,Do you think you are a smart guy?
Ejiro how far?,"Ejiro, what's up?"
So just because I no give you biscuit you dey vex? Habba!Meaning - Are you cross just because I didn't give you some biscuits? For crying out loud!,Are you cross just because I didn't give you some biscuits? For crying out loud!
O boy how e be u now?,"Hey boy, how are you now?"
"i hear say you don get job for Chevron, bros, you don hammer!","I heard you got a job at Chevron, bro, you've made it big!"
Jonas talk say e get accident my heart cut,"Jonas said he had an accident, my heart sank."
The twin brother where caught in the act homosexuallyzion.,The twin brothers were caught in the act of homosexuality.
the agidi mama buy come sweet well well.,The cornmeal paste that mom bought is very sweet.
He just dey form  Hihop here sef,He's just pretending to be Hip-hop here too.
"Ozioma, how na?","Ozioma, how are you?"
"The main advantages of choosing a low-cost motel over the internet are several.You may have the chance to see whatever the motel would appear that before you get there.You will in all probability get the right price for your trip.Just be sure to decide furthermore important to you, bells and whistles maybe a better specific location?","The main advantages of choosing a low-cost motel over the internet are several. You may have the chance to see what the motel looks like before you get there. You will probably get the best price for your trip. Just be sure to decide what's more important to you, bells and whistles or a better location?"
Okoye na guru for math means Okoye is a genius in math,Okoye is a genius in math.
"Bros, abeg buy shekpe make we high.      I wan high beer.","Bro, please buy palm wine so we can get drunk. I want to get drunk on beer."
How you dey?,How are you?
I dey watch home video pass american movies,I watch home videos more than American movies.
if you see the kind heavy slap the policeman give uche enh?!,"If you see the kind of heavy slap the policeman gave Uche, huh?!"
I dey,I am here
"Everytime Nkechi dey come back from sunday school, she dey do holy holy.","Every time Nkechi comes back from Sunday school, she acts all holy."
"my guy alarm don blow, means there is trouble","My friend's alarm has gone off, it means there is trouble."
How far naw? E don tey wey i see you o! means: What's up? It's been a while!,What's up? It's been a while!
Musa to dey behave like agbero,Musa is behaving like a tout.
Jeff how ur end na?,"Jeff, how are you doing?"
This stupid dog luck no dey hear word,This stupid dog doesn't listen to instructions.
You wan do this thing? Haba!,Do you want to do this thing? Wow!
"I just dey hold up for two hours now, my rice don cold finish","I have been waiting for two hours now, my rice has completely gone cold."
"Hey bro, how body?","Hey bro, how are you?"
I dey kampe,I am fine.
I dey fear climb public bus,I am afraid to ride public buses.
I fit speak pidgin,I can speak pidgin.
That my acatay friend wey dey Italy dey come this christmas. We go need to arrange small party for am.,My friend from Italy is coming this Christmas. We will need to arrange a small party for him.
i beg cook rice,Please cook rice.
Obilo too dey do gra-gra for cake,Obilo is showing off too much for the cake.
"Tayo: Sola, I dey o","Tayo: Sola, I am here."
"i hear say you go that party, how e be?","I heard you went to that party, how was it?"
"Sola: Hey Tayo, how you dey?","Hey Tayo, how are you?"
"My house burn, i don die oh","My house has burned, I'm doomed."
"Bros, how ur side na","Bro, how are you doing over there?"
"I dey ache, I never chop since morning","I am hungry, I haven't eaten since morning."
"e be like sey you dey treat your house boy well oh, see as he fat","It seems like you treat your house boy well, look at how fat he is."
I go drive to store in moto.,I will drive to the store in a car.
I no sabi,I don't know
Omo you guck o. who be the person wey tell you that kin lie.,You're very stupid. Who is the person that told you that kind of lie?
Bola gredges rice every wednesday when we get served in the cafeteria.,Bola grinds rice every Wednesday when we are served in the cafeteria.
2 I dey greet o.,I'm greeting you.
You be the real definition of a mighty man,You are the true definition of a mighty man.
I want chop akara,I want to eat bean cake.
Hol your money,Hold your money
Mr A- u hear wetin him dey tell me abi,"Mr. A, did you hear what he was telling me, right?"
3 My people i greet,"My people, I greet you."
I no send,I don't care.
Abeg turn on that aircon,Please turn on that air conditioner.
How you dey?,How are you?
"If I hold you eh, you go dey pass there drink water!","If I catch you, you will be walking past there drinking water!"
Wait make i ease myself.,Wait for me to relieve myself.
"An unacceptable motel can wreak havoc on your vacation and / or business escape.If you don't like in the same manner a conventional hotel looks for the, it can be a safe bet that you would dislike it contained in the product.After virtually all, when was the third time a person saw real estate that was basically perfectly clean inside, but found a clicking lawn and missing shingles on the outside of? That's why it happens to be so nice to pick through your hotel room online by using pictures.","An unacceptable motel can ruin your vacation and/or business trip. If you don't like how a conventional hotel looks from the outside, it's likely you won't like it inside either. After all, when was the last time you saw a house that was perfectly clean inside but had a dying lawn and missing shingles outside? That's why it's great to choose your hotel room online through pictures."
"If na to straf 10 girls, I full ground remain","If it's about sleeping with 10 girls, I am more than capable."
Zainab if you no shut up now I go flog you,Zainab if you don't shut up now I will beat you.
How many ajuwaya dey that house?,How many youth corpers are in that house?
Yinka always dey hyper-jack,Yinka is always very energetic.
I just move to a new big house so I dey look for new house girl,I just moved to a new big house so I am looking for a new house girl.
1 Oga i greet o.,"Boss, I greet you."
Guy howfa na?Howfa with dat runs? You don arrange am?,"Guy, how are you? How is that thing going? Have you arranged it?"
I no know wetin put emma for prison oooo,I don't know what put Emma in prison.
Give me the akpalakpala.,Give me the big spoon.
No bi tode e stat to dey wosh igboka o.,It's not today he started washing cars.
You dey speak Igbo?,Do you speak Igbo?
Ikebe no dey tire the owner,The buttocks never tire the owner.
Jim: You hear say NEPA wan give 24hr light?,Jim: Did you hear that NEPA wants to provide 24-hour electricity?
I  dey go iapot means i am going to the airport,I am going to the airport.
Na im get the moto.,He owns the car.
I never chop since den born me,I have never eaten since I was born.
Your girlfriend dey trip for me,Your girlfriend is falling for me.
"No worry, i go take the ikorro.","Don't worry, I will take the lead."
Itidere niggas,"Calm down, guys."
"You see how obilo dey dance, he be guy man",You see how Obilo is dancing; he is a smart guy.
Abeg cari your inkebe siddon put for one corner,Please carry your bag and sit down in one corner.
"When the grandma said she would ride the powerbike, I just weak.","When the grandma said she would ride the powerbike, I just felt weak."
"ol'boy, you don insert sim?","Dude, have you inserted the SIM card?"
John don jaa means john has left,John has left.
"Reserving a low priced motel over the internet has health improvements.The greatest one will be price considering motels offer unreserved rooms in the online business in a drastically lowered rate and then the service can pass any savings by means of you.In addition, there it could be some benefits or incentives which have been not mentioned any time you reserve interior via smartphone or in person.","Booking a cheap motel online has many advantages. The biggest one is the cost since motels offer unbooked rooms on their website at a significantly reduced price, allowing the service to pass the savings on to you. Additionally, there may be some benefits or incentives that are not mentioned when you book the room over the phone or in person."
That gal ikebay big o,That girl is very strong.
Sayo why you dey behave like Ijebu?,"Sayo, why are you behaving like a miser?"
The guy dey smoke igboo,The guy is smoking weed.
I dey go iaport,I am going to the airport.
Mr B- omo i bow o,"Mr. B, I'm really impressed."
her broda na jjc,Her brother is a newbie.
Jaytricks shey you know say Tuface Idibia na Idoma man?,"Jaytricks, do you know that Tuface Idibia is an Idoma man?"
which came first? egg or chicken?,Which came first? Egg or chicken?
You born ibeji?,Did you give birth to twins?
I don tell am to go sleep means i've told him/her to go to bed,I've told him/her to go to bed.
Q.Wetin dey happen?Ans. i no no,I don't know.
"Oboy, that beb na jaga jaga gal.","Guy, that girl is a messy girl."
"Johnny don on that him useless, i pass my neigbour again","Johnny has turned on his noisy generator, surpassing my neighbor's again."
i dey ja for here,I am leaving from here.
i no fit come your house today o!,I can't come to your house today!
Akpu smell no good means akpu smells real bad,Akpu smells real bad.
Make I Jakpa! Out of here....,Let me leave!
"adaku, please turn on da iacon, i dey sweat.","Adaku, please turn on the air conditioner, I am sweating."
"When deciding on a cheap motel, be absolutely sure to take the time to compare the various cheap hotels.While you can offer 2 more goodies, another are sometimes couple from miles nearer to were you'll need to be in any morning.What one is more necessary to you? This may have access to a free evening of stay after a multitude of paid full night's, that one could let the kids stay free of charge, while one more may have access to a continental for the morning.You may need to take such things into consideration when reaching your final decision.","When deciding on a cheap motel, make sure to take the time to compare various cheap hotels. While you can get two more benefits, another might be a few miles closer to where you need to be in the morning. Which is more important to you? One might offer a free night's stay after several paid nights, another might allow children to stay for free, while another might provide a continental breakfast. You should consider these factors when making your final decision."
"Don't mistake a low priced motel for the purpose of bottom of this barrel system.They cut many of the frills and yet keep stuff are essential to what an individual need.You will find there's bed, naturally and a TV, usually with some sort of movie direct options.Some can have a pool, an iron and also a hairdryer.Some will also will give you small coffee brewer with the necessary tools to earn a fresh bud of coffee beans or tea early in the day.","Don't mistake a low-priced motel for poor quality service. They eliminate many extras but maintain the essentials that one needs. There is a bed, of course, and a TV, usually with some movie channel options. Some may have a pool, an iron, and a hairdryer. Some will also provide you with a small coffee maker with the necessary tools to make a fresh pot of coffee or tea in the morning."
"Oh boy, no be small thing oh! as AK just show all men bail","Oh boy, it's not a small thing at all! AK just bailed on everyone."
"I wan go jab, we go yan later","I want to go to work, we will talk later."
look at this arrow,Look at this arrow.
Dis watch na IBO made,This watch is made by the Igbo.
The artist dey draw jaga-jaga,The artist is drawing in a disorganized or messy manner.
This girl look like jambites means this girl looks like a freshman,This girl looks like a freshman.
Men see how jambites jus full campus.,"Men, see how freshmen are just all over the campus."
Yo no see as those Igbati igbati association just dey chop that rice for Foluke wedding,I didn't see how those Igbati igbati association were just eating that rice at Foluke's wedding.
make we do and co tomorrow go church means lets wear similar costumes tomorrow to the church,Let's wear similar costumes tomorrow to the church.
That mad man just jam my moto,That mad man just hit my car.
This country is jaga jaga,This country is in a mess.
James na ITK he no dey allow me talk when teacher ask question for class,James is a know-it-all; he doesn't let me speak when the teacher asks questions in class.
Oga Jara e o,"Boss, add more."
Make una com kolet plenti plenti orishi rishi dem wey jabrata for win!,Come and collect plenty of goodies that are available for winning!
my iyawo don leave me,My wife has left me.
"Abeg i fit see cash for you hand i won enta IB, Man IB dey rock ooo","Please, can I see some cash from you? I want to go to IB, Man, IB is happening."
i dey go jack for common entrace exam,I am going to study hard for the common entrance exam.
You no see i dey pass. Iwere!,You didn't see me passing. Look!
weytin you dey do this evening,What are you doing this evening?
My pikin fall for jangilova means my child fell off the swing,My child fell off the swing.
Guy! you go smoke jamba?,Dude! Are you going to smoke weed?
I wan go chop 404 wash am down with j j c,I want to go eat dog meat and wash it down with palm wine.
John don fall from jangolova,John has fallen from the swing.
My bros dey show from jan,My brother has been showing off since January.
"Another potential benefit towards reserving a low-cost motel internet is having the capacity to see pictures of this room before you actually choose stay now there.You will cause the lobby and grounds as well.That process, if you no longer like the actual 'looks' than me, you style mess with travelling to the room only to tell your clerk you do not want to last.You may well compare the room to various hotels in your same vicinity.","Another potential benefit of booking a low-cost motel online is the ability to see photos of the room before deciding to stay there. You can also see the lobby and grounds. That way, if you don't like the appearance of it, you don't have to bother going to the room just to tell the clerk you don't want to stay. You can compare the room with other hotels in the same area."
Leave Here Jeri,Leave here now.
Gimme goat head and one small stout means i want to order for a bowl of goat head and small stout (beer),I want to order for a bowl of goat head and a small stout.
Jaeyloaded.com is an entertainment website for updates,Jaeyloaded.com is an entertainment website for updates.
This people by the name iron damage they don collect my iron where i kept for here just now.,"These people known as ""iron damage"" have just taken my iron that I kept here."
You better come house if you see jakpas doings oh!!,You better come home if you see trouble brewing!
o boy abeg use your akanuche o.,"Oh boy, please use your wisdom."
Chisom na Badoski oh,Chisom and Badoski are coming.
I like italo girls,I like Italian girls.
Da son da Gawd es Jesus,The son of God is Jesus.
Dat guy na baddo.,That guy is a badass.
"am talking to you, and you just dey there, standing akimbo!...","I'm talking to you, and you're just there, standing with your hands on your hips!"
"I pray say na free oh. Even in freetown, nothing is free.","I pray that it's free. Even in Freetown, nothing is free."
John: I pray oh!,John: I'm praying oh!
come hia,come here
For dat exam you get de ansa?,Did you get the answer for that exam?
Enough Jairation for John party yesterday,There was a lot of enjoyment at John's party yesterday.
I don get alert Godwin,"I have received an alert, Godwin."
How many jive you get? means how cars do you have?,How many cars do you have?
An Omo Ibile would prefer to use hand chop eba instead of using Cutlery. Ibile la awon eleyiii.. Lil Kesh,A native would prefer to use their hand to eat eba instead of using cutlery.
abeg put jara for me,Please add a little extra for me.
Is Agbero that operate in jagwa.,It's the Agbero that operates in Jagwa.
"Abro, your boy dey loyal.","Abro, your boy is loyal."
Innocent! Go buy maltina and coke for the visitors!,Innocent! Go buy maltina and coke for the visitors!
Johnny Just Drop,Johnny Just Arrived
"My guy ""I don waka o"".  O boy make we dey waka comot for here.","My guy, ""I have left."" Hey man, let's leave this place."
"Oo boi J-town cold for hamatan. Bobs, I just dey come from J-town","Oh boy, Jos is cold during the harmattan season."
I be abj boy!,I am an Abuja boy!
Na Obilo dey control all the Iyabasira joints 4 town o!!,Obilo is the one controlling all the Iyabasira joints in town!
tunde get big johnthomas.,Tunde has a big penis.
I no well so i no dey go work today,"I'm not feeling well, so I'm not going to work today."
"Amarachi na ajebo, you no see as she chop eba","Amarachi is living a luxurious life, didn't you see how she ate eba?"
My love or my dearest,My love or my dearest
Forget that girl she is always jonesing,Forget that girl; she is always craving.
"Guy, i just dey ankle finish and i don tire.","Guy, I just finished walking and I'm tired."
Chinedu na alobam,Chinedu and his close friends
na jelorsi go kill you means you'll die of jealousy,You'll die of jealousy.
"How you dey, Jubbo?","How are you, Jubbo?"
The girl get k-leg.,The girl is bow-legged.
My jujupoyoyo,My sweetheart
"u kack no be small, fine boi","You are very stylish, handsome boy."
Na de jazz im wife jazz am wey mek am dey look like monkey.,It's the charm his wife used on him that makes him look like a monkey.
If you go Loyola Jesuit na only ajebutter full that school,"If you go to Loyola Jesuit, it's only rich kids that fill that school."
That kai-kai sweet oh,That palm wine is sweet.
i wan make u do am jejeli abeg,"I want you to do it gently, please."
Why tony always dey wear jump up?,Why does Tony always wear a jumpsuit?
1)this guy you dey jonze oh,"This guy, you're joking around."
Bola don bang Bisi means Bola has had sex with Bisi,Bola has had sex with Bisi.
get out of here jor!,"Leave here, please!"
Man e be like sey agro dey catch James oh,It seems like James is getting horny.
2.the girl is kaoneish in nature.,The girl is unique in nature.
Guy Kasala dan bust.,Trouble has erupted.
Where the kanta? means where's the cock?,Where's the cock?
Make we go jogodo now,Let's go have fun now.
we dey buy two kala tumorrow,We are buying two colors tomorrow.
O man kaluba nor dey,It's not difficult at all.
how many time in a day u fit hamma?,How many times in a day can you succeed?
abeg your story get k-leg. means your story is a lie.,"Please, your story is a lie."
Dis guyz wey hammer before don dey jonz,These guys who became successful before are now acting foolishly.
Dis waka don get k-leg o!,This journey has become problematic!
Papa you knw go comot me 4 this jette,"Dad, you will not take me out of this jetty."
"Papa Chinedu, How you day?","Father Chinedu, how are you?"
Katakata dey everywhere for naija means there's trouble everywhere in nigeria,There's trouble everywhere in Nigeria.
Kai! I no fit pay chinonso school fees,Wow! I can't afford to pay Chinonso's school fees.
All those ibo men for market na jaguda,All those Igbo men in the market are thieves.
Make am asap,Do it as soon as possible.
This tree still stand kakaraka for ground even with all this rain means the tree is still rooted firmly to the soil even with the torrent rain.,The tree is still rooted firmly to the soil even with the torrential rain.
I wan chop idomie,I want to eat Indomie.
Which kain wrapper you wan buy? means What kind of wrapper do you want to buy?,What kind of wrapper do you want to buy?
Abeg no cause kata-kata for here,Please don't cause trouble here.
I don enta  keke,I have entered a tricycle.
"this countri  no betta, everytin jaga jaga","This country is not good, everything is in disarray."
your keli there!,Your head is there!
See as you dey Waka like pesin wey don jogo,Look at how you're walking like someone who has lost a bet.
Girl:i swear i have never eaten amala and ewedu b4. Boy: i wash./ E no go beta for u. I wash.,Girl: I swear I have never eaten amala and ewedu before. Boy: I don't believe you. It won't be well with you. I don't believe you.
chairman just call me from K-D.,The chairman just called me from Kaduna.
Guy na kalaku you wan smoke? U go craze ooo.,"Guy, do you want to smoke weed? You'll go mad."
Na only jip go fit carry us for dis bad road.,Only a jeep can take us on this bad road.
"Bobo, after work we go go chop kanda and palmy.","Guy, after work we will go eat cow skin and palm wine."
"When someone talks too much, especially when they're not expected to talk","When someone talks too much, especially when they're not expected to talk."
"Kai chinedu, you never wash plate before? you dey behave like JJC","Chinedu, have you never washed plates before? You're acting like a complete newbie."
Lets try and jobb that man that just won the lottery,Let's try and trick that man who just won the lottery.
She u fit use ladder climb maggi....jorr....con use parachute get down...joor oh,"You can climb up with a ladder but then use a parachute to come down, please."
Even though I get accident I still dey kampke,"Even though I had an accident, I am still strong."
looking great,Looking great
I am going to Jand tomorrow to see Wale,I am going to the UK tomorrow to see Wale.
Jackie Chan na im be that actor wey dey fight like monkey.,Jackie Chan is that actor who fights like a monkey.
"Ugonna dey sick, kata just full his face","Ugonna is sick, catarrh is just all over his face."
"guy, u be jb o, u no fit carry this mbo.","Guy, you are weak, you can't carry this load."
"Oh boy, I wan go kaka.""meaning: ""I want to poop.",I want to poop.
"One thing to be aware of when planning to travel and reserve a economical motel is to bring some of the things at home.You probably want to make sure you possess shampoo not to mention soap, in addition to a pillow which may be comfortable suitable for you.Because typically the motels making the effort to save cash, they will most likely not replace pillows right after they are broken down.Also, should you be traveling accompanied by a child, don't trust them that has a port-a-crib displayed the hotel.Bring some safe place for ones little people to sleep.","One thing to be aware of when planning to travel and book a cheap motel is to bring some of your things from home. You probably want to ensure you have shampoo and soap, as well as a pillow that is comfortable for you. Because the motels are trying to save money, they might not replace pillows when they are worn out. Also, if you are traveling with a child, don't rely on them with a portable crib provided by the hotel. Bring a safe place for your little one"
How kians?,How are you?
"No kil yosef fo dis laif o, jos dey jollifikatt dey go o!","Don't kill yourself over this life, just keep enjoying it!"
Babe e don tey when i bin dey begin fall for u,"Babe, it's been a long time since I started falling for you."
"Man that my BMW, when I drive am for road the thing just dey Kampe","That's my BMW; when I drive it on the road, it just remains steady."
he puts me on its coming',He made me believe it's coming.
hw kontri,How country
Used to refer to the Protectors of The Forest in Arewa Land.,Refers to the Protectors of The Forest in Arewa Land.
That your bay dey look like KGB.,Your beard looks like the KGB.
Na who born dis Karanbani Pikin,Who gave birth to this troublesome child?
dat guy knack dat girl wella,That guy hit that girl hard.
1.guy why you dey kaone yourself na.,"Guy, why are you showing off like that?"
I kon ask them,I asked them.
kilonshele for this place,What's happening in this place?
Una go carry keke napep reach dat side abi?,"Will you take a tricycle to that place, right?"
You dey mind that one? Everytime e go dey form say na im pure pass. Holy Ghost koboko,Do you care about that one? Every time he pretends to be the purest. Holy Ghost whip.
