Input_pid,Output_eng
Ehmycool is a signed artist at CB Nation,Ehmycool is a signed artist at CB Nation.
1. I ask that babe if she won follow me commot. she tell me eh eh,". I asked the girl if she wanted to go out with me. She replied, ""eh eh""."
"Ol boy  mek una ja o, ekelebe dey come!","uys, let's run, trouble is coming!"
1. I dey go Eko next week,I am going to Lagos next week.
Ehn? I no hear you oh.Ehn! dem don steal my money,"Ehn? I didn't hear you. Ehn! They have stolen my money."""
Eko for show,ko for show English: Lagos for display
Omo you too like eke.,"You really like snake."""
Omo no be me and u eke go nab for here oohh,t's not me and you that the police will catch here.
u dey give me emana na?,Are you giving me attitude?
That girl get ekuleku,hat girl has a bad attitude.
i dey ma ends,I am in my area.
"why you dey waste money, you no sabi do ekonomik?","Why are you wasting money, don't you know how to be economical?"
Tinubu Eleniyan.,Tinubu is a friend.
na so my t.v enta voicemail means dats how my t.v cant be found,"Na so my t.v enta voicemail"" means ""That's how my TV can't be found."""
1. I just dey enta class,am just entering the class.
"Carry dat enamel go fetch me water. Kai, my enamel don break.","ake that bucket and fetch me water. Oh no, my bucket is broken."
"o boy yu see dat erema, guy she too much","Boy, did you see that lady? She is very beautiful."""
Ewey! You get jab for Hospital. You be Doctor,Wow! You have a job at the hospital. You are a doctor.
epp me,"""Help me"""
"You be real ewu (i.e. You are really stupid/foolish)Ewu of no caliber (i.e, its bad enough that you are a foolish/a goat, but what makes it worse is that, as fools go, you are the lowest of the low or even fail to rank)Ewucanbeer",You are a real fool. You are a fool of no caliber.
ma ex brk,y ex broke up.
"(1) Guy, you no go enter that babe?? (2) If I enter you ehn?? You go see yasef dey wake up for hospital","1) Guy, won't you approach that lady? (2) If I approach you, you will find yourself waking up in the hospital"
Omo as I confess my feelings for Sandra yesterday she just Erica me.,"As I confessed my feelings for Sandra yesterday, she just ignored me."""
All these EPs just dey ruin my plans,All these EPs are just ruining my plans.
enugbe u no fit dash me 100 card,You cannot give me 100 cards.
am leav'n facebook 2 start a new lyf,I am leaving Facebook to start a new life.
erembo where you dey go? dat erema too dey saucy taaaaaaaaa!,"Erembo, where are you going? That girl is too proud!"""
The banks wey survive Soludo reforms were mostly those who saw expo,The banks that survived Soludo's reforms were mostly those who had inside information.
en gudbye 2 frnds,"A goodbye to friends"""
after u finish foi dere ur eye go come down,"After you finish looking up there, your eyes will come down."
Johnny get expo for tomorrow French SSCE,Johnny has an expo for the French SSCE tomorrow.
Dero Hypo Banks on facebook,Dero Hypo Banks on Facebook
i'll b back after 15minutes,I will be back after 15 minutes.
1. O boy I dey feel you eye glass oh,". O boy I dey feel you eye glass oh English: Oh boy, I really like your glasses."
i get excess dough 4 d jolliment,I have plenty of money for the enjoyment.
"if u try me,i go curb(treat) ur excesses","If you try me, I will curb (treat) your excesses."
That dog chop all my meat fa!,hat dog ate all my meat!
dis one na correct ffo,This one is a good footballer.
"1. O boy, take am ezi naw, y ur eye red so?",". Boy, take it easy now, why are your eyes red?"
Why you dey give me fabu?,Why are you lying to me?
2. Relax my brother. Y u dey eye red for me lyk that?,Relax my brother. Why are you looking at me like that with red eyes?
"3. You si say as u si di phone now, your eyes don dey red?","o you see how you are looking at the phone now, are your eyes red?"
"1. you dey vex me oh, abeg face","ou are making me angry, please stop."
pay my money it is not foc,"Pay me my money, it is not a joke."
that your story na faboo.,our story is fabulous.
Make we dey do Faaji.,Let's have fun.
Seun is always fafing on facebook at work.,Seun is always chatting on Facebook at work.
"Chelsea don fall hand this season, see as dem dey loose match anyhow i.e Chelsea has under-performed this season, they are loosing matches constantly.","Chelsea has disappointed this season, see how they are losing matches anyhow."
Abeg I no wan live for face me I face you,"Please, I do not want to live in a face-to-face apartment."
my fada dey jand.,y father is in the UK.
1. Okechiabo just dey fap,Okechiabo is just masturbating.
uche bros na fairy,"Uche's brother is a fairy."""
"abeg fashie that side, i no dey go","Please ignore that area, I am not going there."
See as big boy like you dey fall hands in front of babes,ook at how a big boy like you is embarrassing himself in front of girls.
1. This guy fashi dat babe,. This guy has forgotten about that girl.
"As baddo enta d klub house lyk diz, na im bose go hug am!...","s Baddo entered the club house like this, Bose went to hug him!"
put that rice untop fire,ut that rice on the fire.
ol boy  dat guy don fap my money oooh,"That guy has stolen my money."""
"ah! i think say my pikin don miss, fear catch me.","h! I thought my child was missing, fear gripped me."
you no dey fear face?,Do you have no shame?
abeg make u fi si na. u know say times dey hard,Please try to understand. You know that times are tough.
For Christmas my mama buy me one felele phone,"For Christmas, my mother bought me a new phone."
"my guy, I dey feel you!","y friend, I understand you!"
"Di feem wey dey show for Netflix now, na di first-ever entry from di African kontri.",The film currently showing on Netflix is the first-ever entry from the African country.
"Fada dey flog late comers with koboko; o boy, u go fear fear.","Father is flogging latecomers with a whip; oh boy, you will be very afraid."
dat girl na fff sha,That girl is very beautiful.
"I no like to fight wit James, he to dey fight karat","I don't like to fight with James, he always fights unnecessarily."
"Oga, na Olu Jacobs be that o. Na im dey for that fim we watch yesterday.","Boss, that is Olu Jacobs. He was in the movie we watched yesterday."
The babe still no dey gree for after one year. Just file jo.,he girl still does not agree even after one year. Just forget about it.
Find my thing gimme or mek I find am first,"Find my thing for me or let me find it first."""
"Ola: Akpos the big boy, help your bros with some pepper na.","la: Akpos, the big boy, please help your brothers with some pepper."
Akpos: Pepper fire! I never take this my eyes take see 100 naira since morning.,Akpos: Pepper fire! I have not set my eyes on 100 naira since this morning.
"Josh the fish dem wey you waka with yesterday, come find you.",Josh and the other fish that you were with yesterday have come to find you.
1. Chu just dey find my trouble,. Chu is just looking for trouble with me.
1. Ah uche won spoil my fine boi,"Ah, Uche has spoiled my handsome boy."""
Una dey flenjo for London,You are having fun in London.
"my guy, you fall my hand.","y friend, you have disappointed me."
"why u dey always flash me, you no fit call?Means why do you always flash me why can't you call.","Why do you always flash me, why can't you call?"""
"abeg, you fit help me? i no fit talk","Please, can you help me? I am unable to speak."
The guys dey flex o.,he guys are having fun.
1. Ona just dey flendi for Asaba,. Ona is just relaxing in Asaba.
Zainab if you no shut up now I go flog you,"Zainab, if you don't be quiet now, I will beat you."
belstaffbelstaff jacketsbelstaff salesbelstaff ukbelstaff jackets 2011cheap belstaff jacketsbelstaff bagsbelstaff jackets womenbelstaff jackets womendiscount belstaff jackets men,elstaffbelstaff jacketsbelstaff salesbelstaff ukbelstaff jackets 2011cheap belstaff jacketsbelstaff bagsbelstaff jackets womenbelstaff jackets womendiscount belstaff jackets men
"why u dey speak fone, abeg yarn wetin all man fit understand","Why are you speaking on the phone, please say something that everyone can understand"
"Abeg carry dat flit come, make we take kill all this mosquito.",Please bring that insecticide spray so we can kill all these mosquitoes.
1.COME OFF FOR DEY.,"""Come off for there."""
"Only one week Uche go yankee, e one come start to de blow fonne for hia: See'n eye.","ust one week after Uche arrived in the United States, he started showing off by saying: ""See'n eye."""
You wan fonerize your English abi?,"Do you want to improve your English, right?"
1. Dis guy u be follow follow oh.,. This guy is a copycat.
3.COME OFF FOR DEY ROAD,"""Come off the road."""
Obi: For where?,bi: Where exactly?
"If the price whe/wee i de give  Ɣ☺ΰ no pay  Ɣ☺ΰ better fly or  Ɣ☺ΰ fit yarn the pidgin like this ""oya fly eee no price my market anyhow"".","If the price they are giving you is too high and you can't afford it, you better leave or you can say in Pidgin like this ""okay, don't price my market anyhow, just fly away""."
Why titi dey form ajebo? Means why is titi behaving like a posh person,"""Why is Titi acting posh?"""
2.WHERE U DEY GO? I DEY COME.,Where are you going? I am coming.
"When I start to talk to Chidi babe, Chidi start to form vex","When I started talking to Chidi's girlfriend, Chidi started getting angry."
for were he no fit finish the beans,He was unable to finish the beans.
"Guy No fortate , I dey with you","Don't worry, I am with you."
1. Ada: E be like say rain go fall.,da: It looks like it's going to rain.
"abeg give me my foto, i no fit shout","Please give me my photo, I cannot shout."
1. Chinyere is always forming for me,Chinyere is always pretending for me.
"this your forming done too much, abeg,","our pretense is too much, please."
"If ak come eh, you go see how dis area-boyz go run four-forty.","If Ak comes, you will see how these area boys will run very fast."
Chaii dis children don form the new d'banj song,"ow, these children have already memorized the new D'banj song."
I just buy new 4leg,I just bought a new table.
1. Friend: You think say Jide party go rock?You:For where,. Friend: Do you think Jide's party will be fun? You: No way
davido na frosh guy,Davido is a stylish guy.
Rafael Nadal likes to frakpas,Rafael Nadal likes to play tennis.
1. Maryam come see my fren,"Maryam, come and see my friend."
1. I go dat party Jide just dey do fren fren for everybody,". I will go to that party, Jide is just being friendly to everyone."
Why you dey always shout at me now? eh? abeg free me.,"Why are you always shouting at me now? Please, leave me alone."
1-dat small guy just dey fuck girls eveyday.,hat young man is always having sex with girls every day.
You don fuckonso,"The sentence ""You don fuckonso"" translates to ""You have messed up"" in English."
"2-dat girl no try,she just fuck me for the birthday.","hat girl was not considerate, she just had sex with me on my birthday."
wiz khalifa na frush,Wiz Khalifa is a fraud.
That guy go fuck as hin present that speech,hat guy will fail when he presents that speech.
1 Mama Ekite I hear say after your party rice still full ground remain,"Mama Ekite, I heard that after your party, there was still plenty of rice left on the ground."
If not let the G boys profit on Net!,"If not, let the G boys make a profit on the internet!"
Where is your g4? I wan lem.,Where is your g4? I want to borrow it.
"Mr.A: O boy, how now?","r. A: Hey, how are you?"
I like this babe gan o!,I really like this girl!
"See that useless boy, just galavanting on my street","ook at that worthless boy, just wandering around on my street."
Man this kola nut just full ground,"Wow, this kola nut has just fallen on the ground."""
See d way you come gaj up like this.,ee the way you are looking smart like this.
"Mr. B: Nna, eh, I just full ground remain!","Mr. B: Brother, I am just waiting for the ground to be full!"
your gara-gara don too much,Your stubbornness is too much.
1. Man Aba road get plenti gallop.,The road to Aba has many potholes.
"Guy yawa gas o, ekelebe burst us","The guy messed up, the motorcycle tire burst on us."
"Favour! Oya, go and wash my garms!","Favour! Please, go and wash my clothes!"
1. i won chop garri today oh,I want to eat garri today.
We gats to wait for Tayo,We have to wait for Tayo.
"E choke,gbab?","E choke, gbab?"" English: ""Is it overwhelming, my friend?"""
I gbadun the way Super Eagles dey play recently.,I enjoy the way the Super Eagles have been playing recently.
Na who dey smoke Ganja,Who is smoking marijuana?
u don dey gazzo,You are already getting tired.
Ebere's gate man likes to waste time in opening the gate,Ebere's gate man takes pleasure in wasting time while opening the gate.
It don reach 10 days now way me and my pikin don dey gazzo garri,It has been 10 days now that my child and I have been eating garri.
Mi O Fe Gbo Yen Gbagbe Isele,I don't want to hear that nonsense.
See as Bomboy gbaga when wangara show.,ook at how Bomboy fell when Wangara pushed him.
o boi gbagae don bust for Jakpa junction,The boy's secret has been exposed at Jakpa junction.
"An unacceptable motel can wreak havoc on your vacation and / or business escape.If you don't like in the same manner a conventional hotel looks for the, it can be a safe bet that you would dislike it contained in the product.After virtually all, when was the third time a person saw real estate that was basically perfectly clean inside, but found a clicking lawn and missing shingles on the outside of? That's why it happens to be so nice to pick through your hotel room online by using pictures.","substandard motel can ruin your vacation and/or business trip. If you don't like how a traditional hotel appears, it's likely you won't enjoy staying there. After all, when was the last time you saw a house that was spotlessly clean inside but had a neglected lawn and missing roof shingles outside? That's why it's convenient to choose your hotel room online using pictures."
Dame gbagauned severally at the interview. The chik fine for face but na gbagaun full her mouth,She made several grammatical errors at the interview. She looks good in appearance but her speech was full of errors.
"Don't mistake a low priced motel for the purpose of bottom of this barrel system.They cut many of the frills and yet keep stuff are essential to what an individual need.You will find there's bed, naturally and a TV, usually with some sort of movie direct options.Some can have a pool, an iron and also a hairdryer.Some will also will give you small coffee brewer with the necessary tools to earn a fresh bud of coffee beans or tea early in the day.","Don't confuse a cheap motel for a bottom-of-the-barrel system. They may cut out some luxuries but still provide the essentials you need. You'll find a bed, of course, and a TV usually with some movie channel options. Some may have a pool, an iron, and a hairdryer. Some may even offer a small coffee maker with the necessary tools to make a fresh pot of coffee or tea in the morning."
"While booking a motel over the internet, be absolutely sure you check the spot.A inexpensive motel who looks nice and is the perfect price will not be close for you to were you must be.In addition, some less expensive motels might cut through certain great features to save you on the money necessary the bedroom.They achieve this realizing that it will be your businessman who is just searching for a clean spot to sleep while he will be out of the office and doesn't invariably want to pay for a pool that he or she will never use.Another valid reason is they are often closer in the attraction than the larger hotels and grow at the same price, or else cheaper.","hile booking a motel over the internet, be absolutely sure you check the spot. A inexpensive motel who looks nice and is the perfect price will not be close for you to were you must be. In addition, some less expensive motels might cut through certain great features to save you on the money necessary the bedroom. They achieve this realizing that it will be your businessman who is just searching for a clean spot to sleep while he will be out of the office and doesn't"
"Reserving a low priced motel over the internet has health improvements.The greatest one will be price considering motels offer unreserved rooms in the online business in a drastically lowered rate and then the service can pass any savings by means of you.In addition, there it could be some benefits or incentives which have been not mentioned any time you reserve interior via smartphone or in person.","ooking a budget-friendly motel online has its advantages. The main benefit is the cost savings, as motels often offer unbooked rooms at a significantly reduced rate online, and these savings are passed on to you. Additionally, there may be some perks or incentives that are not mentioned when booking over the phone or in person."
Gbanjo cloth wey I'm buy yesterday na im e de take do yanga,The clothes I bought yesterday are the ones he is using to show off.
"The main advantages of choosing a low-cost motel over the internet are several.You may have the chance to see whatever the motel would appear that before you get there.You will in all probability get the right price for your trip.Just be sure to decide furthermore important to you, bells and whistles maybe a better specific location?","he main advantages of choosing a low-cost motel over the internet are several. You may have the chance to see what the motel would look like before you get there. You will most likely get the right price for your trip. Just be sure to decide what is more important to you, amenities or a better location?"
"One thing to be aware of when planning to travel and reserve a economical motel is to bring some of the things at home.You probably want to make sure you possess shampoo not to mention soap, in addition to a pillow which may be comfortable suitable for you.Because typically the motels making the effort to save cash, they will most likely not replace pillows right after they are broken down.Also, should you be traveling accompanied by a child, don't trust them that has a port-a-crib displayed the hotel.Bring some safe place for ones little people to sleep.","ne thing to be aware of when planning to travel and reserve an economical motel is to bring some of the things from home. You probably want to make sure you have shampoo and soap, as well as a comfortable pillow for yourself. Since motels are trying to save money, they may not replace pillows when they are worn out. Also, if you are traveling with a child, do not rely on them having a port-a-crib available at the hotel. Bring"
"O boy, this your picture too gbaski","ow, this picture of yours is really nice."
"Another potential benefit towards reserving a low-cost motel internet is having the capacity to see pictures of this room before you actually choose stay now there.You will cause the lobby and grounds as well.That process, if you no longer like the actual 'looks' than me, you style mess with travelling to the room only to tell your clerk you do not want to last.You may well compare the room to various hotels in your same vicinity.","nother potential benefit of booking a low-cost motel online is being able to view pictures of the room before making a reservation. You can also see the lobby and surroundings. This way, if you don't like the appearance of it, you don't have to go to the room and inform the receptionist that you don't want to stay. You can compare the room with other hotels in the same area."
gbagbeski jare,Please hurry up
"When deciding on a cheap motel, be absolutely sure to take the time to compare the various cheap hotels.While you can offer 2 more goodies, another are sometimes couple from miles nearer to were you'll need to be in any morning.What one is more necessary to you? This may have access to a free evening of stay after a multitude of paid full night's, that one could let the kids stay free of charge, while one more may have access to a continental for the morning.You may need to take such things into consideration when reaching your final decision.","When choosing a budget motel, make sure to carefully compare different affordable hotels. While one may offer two additional perks, another may be located closer to your morning destination. Which one is more important to you? One may provide a free night's stay after several paid nights, allow kids to stay for free, while another may offer a continental breakfast. Consider these factors when making your final decision."
See as Emeka gbolalaa dat rotten driver,ook at how Emeka insulted that terrible driver.
The girl say her boyfriend gbola too big.,The girl said her boyfriend's manhood is too big.
dem be gbati gbati= they are yorubas,"""They are Yorubas"""
see corruption everywhere Nigerian don gbolo finish,orruption is rampant in Nigeria. The government officials have looted everything.
GBEDU dey Hexagon hotel,There is music at Hexagon hotel.
"Omo, that guy don enter Gbege oO!","Oh, that guy has gotten into trouble!"""
Una no vote for GEJ?,Did you not vote for GEJ?
i go gbese you oh!,I will get into trouble because of you!
Chinedu na gbomogbomo,Chinedu is a thief.
"Emeka no gree, next thing wey we hear na gbo gbo, for Emeka eyes","Emeka refused, the next thing we heard was ""gbo gbo"" in Emeka's eyes."
Did you see Amaka's Gele? That thing was out of this world,id you see Amaka's headgear? That thing was extraordinary.
"Abeg Steven, on that Gen!","Please Steven, turn on the generator!"
1. As the pot fall from stove I just hear gbosa,"As the pot fell from the stove, I just heard a loud bang."
1. Man wayting be the name of the geezm company we you dey use?,What is the name of the company that you are working for?
That movie was gen-gen,hat movie was very interesting.
2. My friend would you gerrarahere!,"My friend, could you please leave this place!"
i dey always mess each time i chop german stone means i always fart each time i eat german stone,"i dey always mess each time i chop german stone"" means ""I always fart each time I eat German stone."""
Omo I wan soke some Gerrium.,I want to smoke some marijuana.
1. E be like say Naomi get belle,It seems like Naomi is pregnant.
I get mouth die! Dele get mouth like Bucket.,I am very outspoken! Dele is very outspoken like a Bucket.
"1. Do me a favour please, gerrarahere!","Please do me a favor, leave me alone!"
"As di fait be jost wan bust, na so e stand gidiba fo graund.","As the fight was about to break out, that's how he stood firmly on the ground."
1. Mummy will you buy me gism?,"Will you buy me a toy, mummy?"
So you think say na only you get sense pass?,Do you think you are the only one who is smarter?
Fat: fat person get big belleDrinking: tombo don make am get belleMalnutration: dat man dey suffer for big belle sickness,at: a fat person has a big belly. Drinking: drinking tombo has caused him to have a big belly. Malnutrition: that man is suffering from a sickness caused by a big belly.
Omo the kind ginger wey I get for that babe no be small,he level of confidence I have in that girl is quite high.
That Mallam dey pack all his money for ghana must go,The Mallam is packing all his money for the trip to Ghana.
1. Gi mi dat cake,. Give me that cake
1)Azubike dis song na die oh! abeg give am belle sharp sharp,"zubike, this song is amazing! Please play it immediately."
abeg buy me beta globe wey dey light wella,Please buy me a better light bulb that shines brightly.
2) i won give am belle before she shun my side,I wanted to impregnate her before she left me.
The go-slow plenty for third mainland bridge o,The traffic jam is heavy on Third Mainland Bridge.
I don enter gobe,I have gotten into trouble.
metaphorically: God save my gnash that day o.,etaphorically: God saved me from trouble that day.
"Amina come make we gist something just come up, I get gist about Adanna","mina, come let's talk about something that just came up, I have some gossip about Adanna."
why you go barb gorimapa?,Why did you shave your head bald?
See her tiny gnash.,ee her tiny teeth.
If u don go fail go now,"f you have gone to fail, go now."
he gon store,"""He is going to store."""
Sorry say i late. Go slow hold me for ring road means sorry am late. I was held up by traffic,Sorry for being late. Traffic held me up on Ring Road.
det man a one gov dannel,he man wants to govern the country.
Joe like to do gra gra anywhere him go.,Joe likes to show off wherever he goes.
2. Dat boy to gra-gra,That boy is too aggressive.
1. Obilo too dey do gra-gra for cake,bilo is too impatient for cake.
"Etim, you no gree talk?","Etim, you refuse to talk?"
"that one you dey talk na grammar, I go still do wetin I wan do","he one you are talking about is just grammar, I will still do what I want to do."
No do gragra for me,Don't show off to me
"omo u grab o, nba wich kin iron u dey chop?","You are very strong, which kind of iron are you eating?"""
Bola gredges rice every wednesday when we get served in the cafeteria.,Bola dislikes rice every Wednesday when we are served in the cafeteria.
The boy too de gree-die,The boy is too greedy.
Mah jus griddai go the place.,I just arrived at the place.
"Ejiro don guck,wangara declare am wanted.","Ejiro has disappeared, the police have declared him wanted."
You don grub? Food still remain,Have you eaten? There is still food left.
Give me your brother number ('I want to grin grin him').,ive me your brother's phone number (I want to call him).
If you no like my example abeg go hug transformer!,"If you don't like my example, please go hug a transformer!"
"Bros, your girlfriend na gumbodi, see as she wan follow you enter toilet.","rother, your girlfriend is very possessive, look at how she wants to follow you into the toilet."
Hammer Head of Horror,"This sentence translates to ""Ọkụkọ ụkwụ ọgwụ"" in Igbo."
"Dem dey groove, groove dey club","They are having fun, there is fun in the club."
"You see how obilo dey dance, he be guy man","ou see how Obilo is dancing, he is a skilled dancer."
your guy name fit u well well.,Your name suits you very well.
You think say you be correct guy-man?,Do you think you are a smart guy?
Omo you guck o. who be the person wey tell you that kin lie.,"Wow, you are very gullible. Who is the person that told you such a big lie?"""
this boy dey craze o,This boy is crazy.
Okoye na guru for math means Okoye is a genius in math,Okoye is a genius in math.
2. You wan do this thing? Haba!,Do you want to do this thing? Wow!
1. Obasanjo just dey hala senators,Obasanjo is just shouting at the senators.
"Abeg, hala me when you reach dia.","Please, call me when you get there."
"1. Haba, now! Do am for me!",". Haba, now! Do am for me! English: Come on, now! Do it for me!"
I hammer that girl no be small,I really like that girl a lot.
how many time in a day u fit hamma?,How many times in a day can you hit it?
H-are you going to the party?,"The sentence ""H-are you going to the party?"" can be translated to English as ""Are you going to the party?"""
"i hear say you don get job for Chevron, bros, you don hammer!","heard that you have gotten a job at Chevron, bro, you have made it!"
1. Jonas talk say e get accident my heart cut,. Jonas said he had an accident and it broke my heart
1. This stupid dog luck no dey hear word,his foolish dog is lucky and doesn't listen.
I dey go haus,I am going home.
if you see the kind heavy slap the policeman give uche enh?!,"If you saw the heavy slap that the policeman gave Uche, right?!"
ooo boy i dey H,"Boy, I am here."""
1. Biola! gettaway.,iola! Get out.
So just because I no give you biscuit you dey vex? Habba!Meaning - Are you cross just because I didn't give you some biscuits? For crying out loud!,"na, biko hapu m biscuit, i no mean say make you vex o. Meaning - Brother, please don't be angry because I didn't give you biscuits."
He just dey form  Hihop here sef,He is just pretending to be a hip-hop artist here.
come hia,ome here
Na hin chick be that ooo!,That is his girlfriend!
(That is his girlfriend be aware),"hat is his girlfriend, be aware."
"Bros, abeg buy shekpe make we high.      I wan high beer.","Brother, please buy some alcohol so we can get high. I want to get high on beer."
"If I hold you eh, you go dey pass there drink water!","If I hold you, you will be passing there to drink water!"
You dey mind that one? Everytime e go dey form say na im pure pass. Holy Ghost koboko,"Do you pay attention to that? Every time, he pretends like he is more righteous. Holy Ghost whip."
3. I don forget the whole thing,I have forgotten everything.
1. Hol your money,. Hold your money
2. Hol your change,Hold your change.
1. Just hold belle small oh,. Just hold your stomach a little.
"Everytime Nkechi dey come back from sunday school, she dey do holy holy.","Every time Nkechi comes back from Sunday school, she acts very holy."
I dey watch home video pass american movies,I prefer watching Nigerian home videos more than American movies.
The twin brother where caught in the act homosexuallyzion.,The twin brothers were caught engaging in homosexual activities.
"Hey bro, how body?","ey bro, how are you?"
"chika, how bodi?","hika, how are you?"
"1. I just dey hold up for two hours now, my rice don cold finish",". I have been waiting for two hours now, my rice has gone cold."
"e be like sey you dey treat your house boy well oh, see as he fat","It seems like you are treating your houseboy well, look at how fat he is."
I just move to a new big house so I dey look for new house girl,"just moved to a new big house, so I am looking for a new house help."
"Ozioma, how na?","Ozioma, how are you?"
O boy how e be u now?,"How are you doing now, my friend?"
That Abi is a Beautiful Woman,"The sentence ""That Abi is a Beautiful Woman"" can be translated to Igbo as ""Ọ dị Abi nwere mmadụ nwere nwaanyị"" and to Nigerian Pidgin as ""Abi fine woman well well."""
"i hear say you go that party, how e be?","heard that you went to that party, how was it?"
"Sola: Hey Tayo, how you dey?","ola: Hey Tayo, how are you?"
"Bros, how ur side na","rother, how are you doing?"
Ejiro how far?,"How are you, Ejiro?"
hat's up? It's been a while!,hat's up? It's been a while!
Jeff how ur end na?,"eff, how are you doing?"
"Tayo: Sola, I dey o","ayo: Sola, I am here"
"Papa Chinedu, How you day?","Hello Chinedu's father, how are you doing?"
Guy howfa na?Howfa with dat runs? You don arrange am?,"Hey, how are you doing? How is the issue with that project going? Have you sorted it out?"""
1. i beg cook rice,Please cook rice.
How you dey?,How are you?
1. Yinka always dey hyper-jack,Yinka is always hyperactive.
I dey,"""I dey"" translates to ""I am"" in English."
How you dey?,How are you?
Mr B- omo i bow o,"Mr B, the child is greeting you"
Mr A- u hear wetin him dey tell me abi,r A- Did you hear what he was telling me or not
I dey kampe,I am fine.
"I dey ache, I never chop since morning","I am hungry, I have not eaten since morning."
I dey fear climb public bus,I am afraid to climb a public bus.
1 Oga i greet o.,"Boss, I greet you."
2 I dey greet o.,am greeting you.
3 My people i greet,I greet my people.
"1. My house burn, i don die oh",". My house has burned down, I am devastated."
I fit speak pidgin,I can speak Pidgin.
i no fit come your house today o!,I cannot come to your house today!
I go drive to store in moto.,I will drive to the store in a car.
I never chop since den born me,have not eaten since I was born.
"If na to straf 10 girls, I full ground remain","f it's about sleeping with 10 girls, I am fully prepared."
I no know wetin put emma for prison oooo,I don't know what landed Emma in prison.
"My guy ""I don waka o"".  O boy make we dey waka comot for here.","y friend ""I have walked a lot"". Oh boy, let's start walking away from here."
I no sabi,I don't know.
Q.Wetin dey happen?Ans. i no no,. What is happening? Ans. I don't know.
Babe e don tey when i bin dey begin fall for u,"It's been a long time since I started falling for you, babe."
John: I pray oh!,John: I am praying.
I no send,I don't care.
Your girlfriend dey trip for me,Your girlfriend is interested in me.
1. Jim: You hear say NEPA wan give 24hr light?,Jim: Did you hear that NEPA wants to provide 24-hour electricity?
"Johnny don on that him useless, i pass my neigbour again","Johnny has put on that his useless outfit, I have surpassed my neighbor again."
Wait make i ease myself.,Wait for me to relieve myself.
which came first? egg or chicken?,hich came first? Egg or chicken? Nigerian Pidgin: Wetin first show? Egg or chicken?
"When the grandma said she would ride the powerbike, I just weak.","hen the grandma said she would ride the powerbike, I was just amazed."
I no well so i no dey go work today,"I am not feeling well, so I am not going to work today."
"I pray say na free oh. Even in freetown, nothing is free.","I hope it's free. Even in Freetown, nothing is free."
Girl:i swear i have never eaten amala and ewedu b4. Boy: i wash./ E no go beta for u. I wash.,Girl: I swear I have never eaten amala and ewedu before. Boy: I doubt it. It won't be good for you. I doubt it.
1. You born ibeji?,Did you give birth to twins?
Dis watch na IBO made,This watch is made in Igbo.
I wan chop idomie,I want to eat noodles.
"adaku, please turn on da iacon, i dey sweat.","Adaku, please turn on the air conditioner, I am sweating."
I  dey go iapot means i am going to the airport,"The sentence ""I dey go iapot means I am going to the airport"" translates to English as ""I am going to the airport."""
"Nah only salt no why em choice to enter rice,stew,soep than to enter garri and tea","It is only salt that decided to go into rice, stew, and soup instead of going into garri and tea."
"Abeg i fit see cash for you hand i won enta IB, Man IB dey rock ooo","Please, can I get some cash from you? I want to go to IB, Man IB is lit."
1. You dey speak Igbo?,Are you speaking Igbo?
The guy dey smoke igboo,The guy is smoking marijuana.
1. No bi tode e stat to dey wosh igboka o.,t's not today that he started washing plates.
I dey go iaport,I am going to the airport.
An Omo Ibile would prefer to use hand chop eba instead of using Cutlery. Ibile la awon eleyiii.. Lil Kesh,An Omo Ibile would prefer to use their hands to eat eba instead of using cutlery. This is the way of the people.. Lil Kesh
Jaytricks shey you know say Tuface Idibia na Idoma man?,"Jaytricks, did you know that Tuface Idibia is an Idoma man?"
That gal ikebay big o,hat girl is very big.
Na im get the moto.,He is the owner of the car.
Yo no see as those Igbati igbati association just dey chop that rice for Foluke wedding,I did not see how those Igbati igbati association members were just eating that rice at Foluke's wedding.
Abeg cari your inkebe siddon put for one corner,Please carry your bag and sit down in one corner.
1. Ikebe no dey tire the owner,The buttocks do not tire the owner.
Sayo why you dey behave like Ijebu?,"Sayo, why are you behaving like someone from Ijebu?"
"No worry, i go take the ikorro.","Don't worry, I will take the ikorro."
1. Innocent! Go buy maltina and coke for the visitors!,Innocent! Go buy Maltina and Coke for the visitors!
"ol'boy, you don insert sim?","Old boy, have you inserted the SIM card?"""
I like italo girls,I like Italian girls.
This people by the name iron damage they don collect my iron where i kept for here just now.,This person called Iron Damage has just taken my iron that I kept here.
"i wan buy indomie. Which one u want, i get norma indomie, oh noodles, mimi noodles, uno noodles, make una choose one.","I want to buy Indomie. Which one do you want? I have normal Indomie, Oh noodles, Mimi noodles, Uno noodles. Please choose one."
You no see i dey pass. Iwere!,"You didn't see me passing by. Look!"""
he puts me on its coming',"The correct translation of the sentence ""he puts me on its coming"" to English is ""he informed me that it is coming."""
Itidere niggas,hey are foolish.
Gimme goat head and one small stout means i want to order for a bowl of goat head and small stout (beer),"Gimme goat head and one small stout"" means ""I want to order a bowl of goat head and a small stout (beer)."""
James na ITK he no dey allow me talk when teacher ask question for class,"James is a know-it-all, he doesn't let me speak when the teacher asks a question in class."
weytin you dey do this evening,What are you doing this evening?
I wan go chop 404 wash am down with j j c,I want to go eat 404 and wash it down with a bottle of JJC.
i dey ja for here,I am tired of staying here.
