Input_igbo,Output_eng
"O bukwa oge mbu, m riri osikapa ""joloofu"" ndi Naijiria.","It's been a long time, I tasted Nigerian ""jollof rice""."
"Dokinta juru nam a ga-acho ihu okacha ibe na-ahu maka isi izu oke,maka nsogbu na nchegbum",The doctor advised me to wear a helmet whenever I ride a motorcycle because of the risk of accidents.
"Ufodu Ubochi, E nweghim ike iru aru oru","In the morning, I am not able to think clearly."
(Ichi ochi),"The translation of ""Ichi ochi"" to English is ""One by one."""
"Ubochi ndi ozo, m choo kam noro n'akwa m, bee akwa.","In the morning, I saw my friends, we greeted each other."
"N' eziokwu, ihe m gabigara buru ibu","Honestly, what I saw surprised me."
Afo gara-aga..,The market is crowded.
"Oge anu wa ka anyi akwuru kita ka anyi ga agawu ibido so, nee ka ndi nmadu na join odi less risky ndi kno ani na fence, kita nwe reason not to ha ama kwuchapu ha ama di ridiculed mana ha ga abu ofu na ime igwe ma ha gasia ike (imu amu) So, over the next minute Iga afu ndi ga a prefer ikwu with igwe maka eventually ha ga adi ridiculed maka na ha a joinuro and otu anwo ka ige esi abido ihe","he time has come for us to gather our thoughts and decide how we will proceed, so that people who are not involved in the matter will not see us as less risky than those who are on the fence. We have every reason not to be ashamed or ridiculed, but to stand firm and be strong. So, over the next minute, some may choose to gossip about us, but eventually they will be the ones ridiculed because they will join in and realize that what they were saying"
"Oge akpagbu di ukwu dakwasara Sangu Delle, o gabigakwara nkwenye ya; na umu nwoke e kwesighi i kpachapuru isi izu oke ha anya","hen the time for the big meeting with Sangu Delle arrived, he prepared himself well; and the men were not able to hide the fear in their eyes."
buzi ezigbo onye isi na onwe ya ona bu inwe obi ikwu cha puta otu anwu onye izizi na eso bu onye gbanwe onye noru onwe ya to onye ndu (imu amu) (iku aka),"A good leader is someone who has the heart to feel the pain of a single ant, and the strength to carry the burden of another person to the grave (life and death)."
(Ichi ochi),"The translation of ""Ichi ochi"" to English is ""One by one."""
"onye nke ibou na eso abia kita oburuzi ofu onye or nmadu abou, nmadu ato bu igwe, igwe bu news so iga na iru ga bu na iro odi nkpa, not just igosi onye na edu, mana igosi ndi na eso maka na ndi ofu na eso na eso ndi na eso, not onye na edu","The person who goes to the market to buy a goat for a man or woman, the person who buys is the king, the king is the one who gives the news that there will be a feast, not just for the person who goes, but for those who come because those who buy and those who sell and those who come are all involved, not just the buyer."
dirim ka oku.,I am as hot as fire.
"kita, odi nmadu nabu na abia and ozugbo nmadu ito more kita anyi weh momentum","When one person goes to the farm and another person comes back, we lose momentum."""
"mana kanyi che maka ihe anyi mu ta ife izizi, obu na gi di ka onye anwu na ehiro efe na agba eqwu na onwe ya rota na odi nmkpa nurturing ndi izizi na eso gi ka unu abu ogbo so, obu maka ibodo ihe and not gi Okay, mana anyi we ike ilofu ihe anyi na amu eba","We are passionate about what we do, because you are like a bird that flies in the sky and lands on its own nest, nurturing our desires and guiding you to become great, because we believe in you. However, we are determined to achieve what we have set out to do."
"Ugbu a, lee ka onye na edu ga esi gbako ya ka ha bu nwanna Ugbu a, obughikwa maka onye na edu obu maka ha abuo, Ugbu a, o na akpo ndi enyi ya","In the future, let the person who is being chased be caught so that they can be recognized as a brother. In the future, it is not because of the person being chased but because of both of them. In the future, he will meet his parents."""
"nukwu te ihe akuzi, if you noticed obu na ige nti -- bu na idu di over-glorified na, yes, obu onye na ehiro efe bu uzo nya na ewuru afa nine mana obu onye izizi na iso uzo ga atuhari ofu onye ka oburu onye ndu so, ka ha gwaru anyi na anyi nine ga abu ndi ndu ihe anwu enwero isi","he big issue here is, if you noticed -- it's that the praise is over-glorified, yes, it's someone who knows the way to the forest and another person who knows the way back, so that they can guide us and we will all be safe, so that we can be the living while the dead have no say."
"N'okwu ya, o kuzikwara ihe o mutara gbasara i kpachapuru otu ahu si eme nmadu, o kachasi n'obodo n'adighi e nebara ya anya","In truth, when he realized what he had done regarding deceiving that person, he fled to a village where he is not known."
"obu na odi gi ka ifu ibido ihe inwe ume weh soru yana igosi ndi nmadu uzo and oge ifu onye noru onwe ya na eme ihe di egwu nweru obi ibu onye izizi ikwuru oto na ibanye owero ebe ka nma ime ya na aburo, TED.","It is when you realize that what you have is not enough that you start looking at how other people are doing things and the time someone spends trying to be someone else is wasted, TED."""
"Dika o siri kwu: ""I kwu eziokwu gbasara otu ahu si eme anyi, a naghi egosi e dighi ike anyi--o na-egosi n'anyi bukwa nmadu.""","Just like a tree: 'If a tree speaks the truth about us, we cannot deny our actions--it speaks of us as humans.'"""
"Ugbu a, unu ga ahu na onye na eso na mbu","Today, you will meet the person who went to the market."""
